(-100,-99)
(-100,-98)
(-100,-97)
(-100,-96)
(-99,-100)
(-99,-96)
(-98,-96)
(-97,-100)
(-97,-97)
(-100,-109)
(-100,-108)
(-100,-107)
(-100,-106)
(-99,-110)
(-99,-106)
(-98,-106)
(-97,-110)
(-97,-107)
(-100,-119)
(-100,-118)
(-100,-117)
(-100,-116)
(-99,-120)
(-99,-116)
(-98,-116)
(-97,-120)
(-97,-117)
(-100,-129)
(-100,-128)
(-100,-127)
(-100,-126)
(-99,-130)
(-99,-126)
(-98,-126)
(-97,-130)
(-97,-127)
(-100,-139)
(-100,-138)
(-100,-137)
(-100,-136)
(-99,-140)
(-99,-136)
(-98,-136)
(-97,-140)
(-97,-137)
(-100,-149)
(-100,-148)
(-100,-147)
(-100,-146)
(-99,-150)
(-99,-146)
(-98,-146)
(-97,-150)
(-97,-147)
(-110,-125)
(-109,-125)
(-108,-125)
(100,-100)
(101,-100)
(102,-100)
(100,-110)
(101,-110)
(102,-110)
(100,-120)
(101,-120)
(102,-120)
(100,-130)
(101,-130)
(102,-130)
(100,-140)
(101,-140)
(102,-140)
(100,-150)
(101,-150)
(102,-150)
(-100,-300)
(-100,-299)
(-100,-298)
(-99,-300)
(-99,-297)
(-98,-300)
(-97,-300)
(-96,-299)
(-96,-297)
(-100,-320)
(-100,-319)
(-100,-318)
(-99,-320)
(-99,-317)
(-98,-320)
(-97,-320)
(-96,-319)
(-96,-317)
(0,-100)
(0,-99)
(0,-98)
(1,-100)
(1,-97)
(2,-100)
(3,-100)
(4,-99)
(4,-97)
(0,-132)
(0,-131)
(0,-130)
(1,-132)
(1,-129)
(2,-132)
(3,-132)
(4,-131)
(4,-129)
(0,0)
(1,0)
(-1,0)
(3,3)
(3,2)
(2,3)
(30,30)
(32,30)
(34,30)
(30,31)
(34,31)
(30,32)
(34,32)
(30,33)
(34,33)
(30,34)
(32,34)
(34,34)
(31,30)
(34,30)
(30,31)
(30,32)
(30,33)
(31,33)
(32,33)
(33,33)
(34,32)
(38,30)
(41,30)
(37,31)
(37,32)
(37,33)
(38,33)
(39,33)
(40,33)
(41,32)
(20,31)
(20,32)
(20,33)
(20,34)
(21,30)
(21,34)
(22,34)
(23,30)
(23,33)
(20,40)
(20,41)
(20,42)
(21,40)
(21,43)
(22,40)
(23,40)
(24,41)
(24,43)
(-30,-30)
(-30,-29)
(-30,-28)
(-30,-27)
(-30,-26)
(-28,-30)
(-28,-26)
(-26,-30)
(-26,-29)
(-26,-28)
(-26,-27)
(-26,-26)
