(-10, 0)
(-9, 0)
(-8, 0)
(-7, 0)
(-6, 0)
(-5, 0)
(-4, 0)
(-3, 0)
(-2, 0)
(-1, 0)
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(24, 0)
(25, 0)
(26, 0)
(27, 0)
(28, 0)
(29, 0)
(30, 0)
(31, 0)
(32, 0)
(33, 0)
(34, 0)
(35, 0)
(36, 0)
(37, 0)
(38, 0)
(39, 0)
(40, 0)
(41, 0)
(42, 0)
(43, 0)
(44, 0)
(45, 0)
(46, 0)
(47, 0)
(48, 0)
(49, 0)
(50, 0)
(51, 0)
(52, 0)
(53, 0)
(54, 0)
(55, 0)
(56, 0)
(57, 0)
(58, 0)
(59, 0)
(-10, 1)
(-9, 1)
(-8, 1)
(-7, 1)
(-6, 1)
(-5, 1)
(-4, 1)
(-3, 1)
(-2, 1)
(-1, 1)
(0, 1)
(1, 1)
(2, 1)
(3, 1)
(4, 1)
(5, 1)
(6, 1)
(7, 1)
(8, 1)
(9, 1)
(10, 1)
(11, 1)
(12, 1)
(13, 1)
(14, 1)
(15, 1)
(16, 1)
(17, 1)
(18, 1)
(19, 1)
(20, 1)
(21, 1)
(22, 1)
(23, 1)
(24, 1)
(25, 1)
(26, 1)
(27, 1)
(28, 1)
(29, 1)
(30, 1)
(31, 1)
(32, 1)
(33, 1)
(34, 1)
(35, 1)
(36, 1)
(37, 1)
(38, 1)
(39, 1)
(40, 1)
(41, 1)
(42, 1)
(43, 1)
(44, 1)
(45, 1)
(46, 1)
(47, 1)
(48, 1)
(49, 1)
(50, 1)
(51, 1)
(52, 1)
(53, 1)
(54, 1)
(55, 1)
(56, 1)
(57, 1)
(58, 1)
(59, 1)
(-10, 2)
(-9, 2)
(-8, 2)
(-7, 2)
(-6, 2)
(-5, 2)
(-4, 2)
(-3, 2)
(-2, 2)
(-1, 2)
(0, 2)
(1, 2)
(2, 2)
(3, 2)
(4, 2)
(5, 2)
(6, 2)
(7, 2)
(8, 2)
(9, 2)
(10, 2)
(11, 2)
(12, 2)
(13, 2)
(14, 2)
(15, 2)
(16, 2)
(17, 2)
(18, 2)
(19, 2)
(20, 2)
(21, 2)
(22, 2)
(23, 2)
(24, 2)
(25, 2)
(26, 2)
(27, 2)
(28, 2)
(29, 2)
(30, 2)
(31, 2)
(32, 2)
(33, 2)
(34, 2)
(35, 2)
(36, 2)
(37, 2)
(38, 2)
(39, 2)
(40, 2)
(41, 2)
(42, 2)
(43, 2)
(44, 2)
(45, 2)
(46, 2)
(47, 2)
(48, 2)
(49, 2)
(50, 2)
(51, 2)
(52, 2)
(53, 2)
(54, 2)
(55, 2)
(56, 2)
(57, 2)
(58, 2)
(59, 2)
(-10, 30)
(-9, 30)
(-8, 30)
(-7, 30)
(-6, 30)
(-5, 30)
(-4, 30)
(-3, 30)
(-2, 30)
(-1, 30)
(0, 30)
(1, 30)
(2, 30)
(3, 30)
(4, 30)
(5, 30)
(6, 30)
(7, 30)
(8, 30)
(9, 30)
(10, 30)
(11, 30)
(12, 30)
(13, 30)
(14, 30)
(15, 30)
(16, 30)
(17, 30)
(18, 30)
(19, 30)
(20, 30)
(21, 30)
(22, 30)
(23, 30)
(24, 30)
(25, 30)
(26, 30)
(27, 30)
(28, 30)
(29, 30)
(30, 30)
(31, 30)
(32, 30)
(33, 30)
(34, 30)
(35, 30)
(36, 30)
(37, 30)
(38, 30)
(39, 30)
(40, 30)
(41, 30)
(42, 30)
(43, 30)
(44, 30)
(45, 30)
(46, 30)
(47, 30)
(48, 30)
(49, 30)
(50, 30)
(51, 30)
(52, 30)
(53, 30)
(54, 30)
(55, 30)
(56, 30)
(57, 30)
(58, 30)
(59, 30)
(-10, 31)
(-9, 31)
(-8, 31)
(-7, 31)
(-6, 31)
(-5, 31)
(-4, 31)
(-3, 31)
(-2, 31)
(-1, 31)
(0, 31)
(1, 31)
(2, 31)
(3, 31)
(4, 31)
(5, 31)
(6, 31)
(7, 31)
(8, 31)
(9, 31)
(10, 31)
(11, 31)
(12, 31)
(13, 31)
(14, 31)
(15, 31)
(16, 31)
(17, 31)
(18, 31)
(19, 31)
(20, 31)
(21, 31)
(22, 31)
(23, 31)
(24, 31)
(25, 31)
(26, 31)
(27, 31)
(28, 31)
(29, 31)
(30, 31)
(31, 31)
(32, 31)
(33, 31)
(34, 31)
(35, 31)
(36, 31)
(37, 31)
(38, 31)
(39, 31)
(40, 31)
(41, 31)
(42, 31)
(43, 31)
(44, 31)
(45, 31)
(46, 31)
(47, 31)
(48, 31)
(49, 31)
(50, 31)
(51, 31)
(52, 31)
(53, 31)
(54, 31)
(55, 31)
(56, 31)
(57, 31)
(58, 31)
(59, 31)
(-10, 31)
(-9, 31)
(-8, 31)
(-7, 31)
(-6, 31)
(-5, 31)
(-4, 31)
(-3, 31)
(-2, 31)
(-1, 31)
(0, 31)
(1, 31)
(2, 31)
(3, 31)
(4, 31)
(5, 31)
(6, 31)
(7, 31)
(8, 31)
(9, 31)
(10, 31)
(11, 31)
(12, 31)
(13, 31)
(14, 31)
(15, 31)
(16, 31)
(17, 31)
(18, 31)
(19, 31)
(20, 31)
(21, 31)
(22, 31)
(23, 31)
(24, 31)
(25, 31)
(26, 31)
(27, 31)
(28, 31)
(29, 31)
(30, 31)
(31, 31)
(32, 31)
(33, 31)
(34, 31)
(35, 31)
(36, 31)
(37, 31)
(38, 31)
(39, 31)
(40, 31)
(41, 31)
(42, 31)
(43, 31)
(44, 31)
(45, 31)
(46, 31)
(47, 31)
(48, 31)
(49, 31)
(50, 31)
(51, 31)
(52, 31)
(53, 31)
(54, 31)
(55, 31)
(56, 31)
(57, 31)
(58, 31)
(59, 31)
